"","SRR7624365","SRR7624366","SRR7624371","SRR7624372","SRR7624375","SRR7624376"
"ENSMUSG00000046828",3,8,17,12,4,1
"ENSMUSG00000089703",0,2,6,2,0,0
"ENSMUSG00000100966",2,0,8,4,3,0
"ENSMUSG00000100769",12,8,15,16,14,14
"ENSMUSG00000101567",8,1,6,2,3,3
"ENSMUSG00000056870",794,579,263,337,246,206
"ENSMUSG00000102319",20,80,30,24,23,52
"ENSMUSG00000089877",2,4,3,4,3,4
"ENSMUSG00000101701",4,11,2,0,2,2
"ENSMUSG00000103071",4,4,4,0,4,5
"ENSMUSG00000100434",0,0,0,2,0,0
"ENSMUSG00000101937",0,0,0,0,4,0
"ENSMUSG00000026043",6,2,12,1,24,37
"ENSMUSG00000026042",699,626,861,969,660,472
"ENSMUSG00000104476",12,8,4,14,8,16
"ENSMUSG00000100218",2,0,0,0,0,0
"ENSMUSG00000100361",2,2,0,5,2,6
"ENSMUSG00000100894",1,2,1,0,1,2
"ENSMUSG00000025995",16365,13057,17787,18076,24797,17982
"ENSMUSG00000099850",0,2,6,5,10,2
"ENSMUSG00000084817",21,29,51,35,68,32
"ENSMUSG00000098549",0,2,3,0,1,2
"ENSMUSG00000099381",0,0,0,0,18,22
"ENSMUSG00000025993",122,50,232,215,2387,1734
"ENSMUSG00000070896",2,0,8,7,0,3
"ENSMUSG00000099432",0,0,0,0,2,0
"ENSMUSG00000041144",35,24,101,85,89,91
"ENSMUSG00000101262",15,16,16,10,16,37
"ENSMUSG00000101337",59,79,181,83,109,56
"ENSMUSG00000025986",9026,8433,10333,12505,14831,14241
"ENSMUSG00000100213",35,32,51,52,61,87
"ENSMUSG00000103129",0,0,2,8,17,18
"ENSMUSG00000100160",0,0,9,5,16,22
"ENSMUSG00000101447",8,7,26,8,16,8
"ENSMUSG00000081185",2,0,4,2,0,0
"ENSMUSG00000100033",40,21,35,29,22,13
"ENSMUSG00000094968",0,4,3,0,0,0
