"","SRR7624365","SRR7624366","SRR7624371","SRR7624372","SRR7624375","SRR7624376"
"ENSMUSG00000039740",2882.08333333333,2462.25,2243.5,1740.5,2093.83333333333,2206.16666666667
"ENSMUSG00000053317",4555.41666666667,3502.33333333333,4389.5,4288.16666666667,4652.16666666667,4754.75
"ENSMUSG00000061455",610.333333333333,672.583333333333,1096,979.166666666667,493.833333333333,458.5
"ENSMUSG00000028343",5141.91666666667,3825.75,2852.5,3173.08333333333,3249.66666666667,2862.16666666667
"ENSMUSG00000028344",642.666666666667,808.5,832,969,1213.5,1092
"ENSMUSG00000028345",11039.5,12466.8333333333,13440.8333333333,15442,17198,16192.6666666667
"ENSMUSG00000039693",3424.83333333333,3307,5975.66666666667,6213.66666666667,3093.66666666667,3424.66666666667
"ENSMUSG00000028347",12924.8333333333,12687,15908,16180,7703.5,7305
"ENSMUSG00000028348",178,260.75,457,497.333333333333,171.75,231.666666666667
"ENSMUSG00000080850",51.3333333333333,55.8333333333333,67.6666666666667,63.6666666666667,59.3333333333333,62.5
"ENSMUSG00000063446",73.3333333333333,63.8333333333333,81.5833333333333,69.8333333333333,56.5,45.6666666666667
"ENSMUSG00000044018",4119.16666666667,3592,4107.16666666667,4464.66666666667,5595.33333333333,5313.16666666667
"ENSMUSG00000039634",907.166666666667,610.333333333333,528.333333333333,580.25,587.25,518.833333333333
"ENSMUSG00000039611",82.1666666666667,72.5,52.6666666666667,63.6666666666667,114.666666666667,88.1666666666667
"ENSMUSG00000028309",4800.16666666667,7099.16666666667,6130,6419,5813.5,5112.83333333333
"ENSMUSG00000039579",77.8333333333333,191.666666666667,98.1666666666667,151.833333333333,109.333333333333,111
"ENSMUSG00000064923",107.333333333333,79.5,92,86.1666666666667,67.6666666666667,76.1666666666667
"ENSMUSG00000028312",21203.5,25620.3333333333,27853.1666666667,27703.3333333333,28623.3333333333,26583.3333333333
"ENSMUSG00000015247",2581.66666666667,2210.33333333333,2060.08333333333,2316.75,1744,1742.58333333333
"ENSMUSG00000015243",4505.58333333333,5832.5,1383.5,1116.75,591.666666666667,556.666666666667
"ENSMUSG00000086712",140.166666666667,112.666666666667,95.3333333333333,57.5,48.3333333333333,45.6666666666667
"ENSMUSG00000028412",12792.5,11039.5,9606.83333333333,9968,3264.66666666667,3494.66666666667
"ENSMUSG00000084970",95.3333333333333,130.833333333333,93.1666666666667,88.3333333333333,55.5,63.6666666666667
"ENSMUSG00000054752",3033.16666666667,2844.25,4245.66666666667,3528.5,4035.83333333333,3239.16666666667
"ENSMUSG00000081516",67.8333333333333,58.3333333333333,71,60.5,64.8333333333333,57.6666666666667
"ENSMUSG00000028414",2436.66666666667,2659.75,2437.66666666667,2517.66666666667,2495.5,2297.83333333333
