"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"ENSG00000132773",175,180.833333333333,197.916666666667,255.166666666667,265.5,314.5
"ENSG00000070759",211.833333333333,161.666666666667,198.833333333333,192.833333333333,304.5,192.5
"ENSG00000280670",86.5,86.8333333333333,86.5,72.8333333333333,78.3333333333333,94.3333333333333
"ENSG00000132763",296.666666666667,301.666666666667,260.166666666667,322.666666666667,279.166666666667,383.666666666667
"ENSG00000117450",6611.16666666667,6269.16666666667,7110.66666666667,3854.5,5997.83333333333,6544.5
"ENSG00000117448",1391.83333333333,1565,1782.16666666667,1116.33333333333,1638.66666666667,1634.5
"ENSG00000132780",993.333333333333,966,862.166666666667,1306,1288.75,1878.25
"ENSG00000159588",103.333333333333,105.666666666667,98.8333333333333,85.6666666666667,98.8333333333333,82.3333333333333
"ENSG00000159592",3043.83333333333,2943.33333333333,3058.16666666667,2785.33333333333,3192.5,3175
"ENSG00000225447",118,120.5,91.0833333333333,99.5,97,107.666666666667
"ENSG00000234329",118,110.5,107.833333333333,123.5,125,135.666666666667
"ENSG00000159596",531.5,470.5,497.166666666667,445.166666666667,569,511.5
"ENSG00000197429",523.333333333333,529.333333333333,541.5,574.666666666667,581.833333333333,598.333333333333
"ENSG00000230896",84,88,90.1666666666667,89,88,88
"ENSG00000086015",1357.5,1442,1539.5,1603.25,1217,1216.16666666667
"ENSG00000117461",320.5,346.416666666667,298.166666666667,216.5,273.666666666667,325
"ENSG00000117472",131.333333333333,125.166666666667,148.833333333333,85.1666666666667,143.166666666667,97.8333333333333
"ENSG00000085998",2004.33333333333,2187.33333333333,2593.66666666667,1402.5,1677.16666666667,1786.16666666667
"ENSG00000171357",103.333333333333,98,121.666666666667,95.1666666666667,123,92.5
"ENSG00000085999",96.1666666666667,105.666666666667,119.833333333333,102.666666666667,112.166666666667,170
"ENSG00000132128",1694.33333333333,1751.58333333333,1866.33333333333,1899.91666666667,1905.16666666667,1706.83333333333
"ENSG00000173660",1550.16666666667,1700.83333333333,1878.25,1182.5,1445.75,1467.75
"ENSG00000117481",524.833333333333,560.5,601.833333333333,752.666666666667,660.333333333333,542.333333333333
"ENSG00000117480",123.833333333333,105.666666666667,122.833333333333,138.666666666667,195.666666666667,162.75
"ENSG00000232022",82.6666666666667,78.3333333333333,94.5,87.3333333333333,97.8333333333333,80
"ENSG00000269956",73.8333333333333,73.8333333333333,78.3333333333333,85.1666666666667,83,81.5
