"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"hsa-miR-19b-1-5p ",89,93.3333333333333,93.0833333333333,112.833333333333,94.5,103.5
"hsa-miR-19b-3p ",492.416666666667,515.833333333333,498.166666666667,1268.83333333333,636.666666666667,823
"hsa-miR-200a-3p ",186.666666666667,149.833333333333,138.75,144.75,267.083333333333,307
"hsa-miR-200a-5p ",90.5833333333333,90.1666666666667,94.3333333333333,94.9166666666667,104.166666666667,103.5
"hsa-miR-200b-3p ",203.333333333333,152.666666666667,189,146.25,472.166666666667,290.333333333333
"hsa-miR-200c-3p ",184.166666666667,133.5,149.5,133.5,171.416666666667,244.666666666667
"hsa-miR-203a-3p ",222.166666666667,211.75,211.75,154.916666666667,271,182.916666666667
"hsa-miR-203b-5p ",127.166666666667,126.166666666667,124.416666666667,111.833333333333,129.166666666667,122.5
"hsa-miR-20a-5p ",3924,2916.83333333333,4439.16666666667,366.333333333333,4820.16666666667,3433
"hsa-miR-21-3p ",1525.83333333333,1641.66666666667,1232,3385.5,1123.16666666667,2241.5
"hsa-miR-21-5p ",740471.5,740471.5,740471.5,647117.333333333,740471.5,740471.5
"hsa-miR-210-3p ",10045.6666666667,14291,6694.66666666667,26323.8333333333,4510.16666666667,3597
"hsa-miR-210-5p ",199.833333333333,206.5,184.166666666667,253.166666666667,154.916666666667,116.583333333333
"hsa-miR-2110 ",112.75,121.083333333333,106.416666666667,227.5,109.333333333333,130.166666666667
"hsa-miR-212-3p ",95.5,96.75,94.3333333333333,99.3333333333333,96,94.25
"hsa-miR-212-5p ",109.5,112,117.583333333333,102.666666666667,101.166666666667,110.166666666667
"hsa-miR-214-3p ",1641.66666666667,1669.66666666667,1718.66666666667,4567.66666666667,2241.5,3112.66666666667
"hsa-miR-214-5p ",1051.5,985,1024,1963.5,2012,2012
"hsa-miR-215-5p ",96,89,97.3333333333333,102.666666666667,96,106.166666666667
"hsa-miR-216a-5p ",100.583333333333,103.25,95.5,109.5,90.25,95.5
"hsa-miR-217-5p ",141.333333333333,139.5,138.75,197.583333333333,111.5,125.333333333333
"hsa-miR-218-5p ",205,184.166666666667,207.666666666667,122.5,257.166666666667,206.5
"hsa-miR-219a-1-3p ",92.9166666666667,90.1666666666667,91.1666666666667,102.666666666667,96,95.5
"hsa-miR-22-3p ",45579.6666666667,45579.6666666667,40711.1666666667,198409.5,29004.6666666667,72483
"hsa-miR-22-5p ",1806.83333333333,1806.83333333333,1943.66666666667,2096.16666666667,1870.5,2768.83333333333
"hsa-miR-221-3p ",148711,148711,119978.5,154252,100028.666666667,100028.666666667
"hsa-miR-221-5p ",2418.5,2548,2434.5,462.166666666667,3385.5,1911.16666666667
"hsa-miR-222-3p ",5442.83333333333,6011.83333333333,5794.33333333333,3878.66666666667,6011.83333333333,4648
"hsa-miR-222-5p ",199.833333333333,194.75,199.833333333333,107.75,161.5,133.833333333333
"hsa-miR-223-3p ",89.8333333333333,101.166666666667,89,92.5,89.4166666666667,100.75
"hsa-miR-224-3p ",137.5,136.666666666667,154.166666666667,147.5,218.833333333333,127.333333333333
"hsa-miR-224-5p ",2054.33333333333,1771.33333333333,2348.16666666667,1067,3112.66666666667,1566.83333333333
"hsa-miR-2277-5p ",154.333333333333,167,178.833333333333,144.75,164.25,171
"hsa-miR-2355-3p ",169.5,169.5,142.666666666667,332.833333333333,174.5,171
"hsa-miR-2355-5p ",96.9166666666667,94.1666666666667,99.3333333333333,93.6666666666667,100.333333333333,94.25
"hsa-miR-23a-3p ",24398,22428.5,26323.8333333333,13590.5,26323.8333333333,13590.5
"hsa-miR-23a-5p ",117.583333333333,106.166666666667,102.416666666667,152.25,138,132.75
"hsa-miR-23b-3p ",13590.5,10792.6666666667,14291,7736.5,14291,9423
"hsa-miR-23b-5p ",220,251.833333333333,211.75,458,221.5,276
"hsa-miR-24-1-5p ",129.916666666667,135.5,136.666666666667,122.5,124.416666666667,137
"hsa-miR-24-2-5p ",136.333333333333,135,126.166666666667,108.5,131.333333333333,100.75
"hsa-miR-24-3p ",75422.5,79368.8333333333,60425,75422.5,63114.5,69027.3333333333
"hsa-miR-25-3p ",9423,8609.16666666667,8880,8609.16666666667,11559.1666666667,10792.6666666667
"hsa-miR-2682-5p ",133.25,128.333333333333,142.666666666667,90.3333333333333,94.5,89.1666666666667
"hsa-miR-26a-1-3p ",98.1666666666667,94.1666666666667,106.416666666667,97.5833333333333,96,93.3333333333333
"hsa-miR-26a-2-3p ",148.166666666667,137.5,167,109.5,239.666666666667,120.916666666667
"hsa-miR-26a-5p ",133158.166666667,100028.666666667,148711,32465.5,189972.833333333,119978.5
"hsa-miR-26b-3p ",106.333333333333,108.083333333333,110.666666666667,124.333333333333,111.5,107.333333333333
"hsa-miR-26b-5p ",3264.33333333333,2574.83333333333,4648,603.666666666667,7378.16666666667,2391.33333333333
"hsa-miR-27a-3p ",72483,69027.3333333333,88611.3333333333,13055.8333333333,79368.8333333333,45579.6666666667
"hsa-miR-27a-5p ",1771.33333333333,2012,1525.83333333333,3480.83333333333,2978,3793.16666666667
"hsa-miR-27b-3p ",154252,167204,167204,133158.166666667,148711,148711
"hsa-miR-27b-5p ",515.833333333333,566,482.5,1457.83333333333,627.333333333333,836.5
"hsa-miR-28-3p ",4331.16666666667,4820.16666666667,3264.33333333333,10792.6666666667,5442.83333333333,7118.66666666667
"hsa-miR-28-5p ",1687.66666666667,1687.66666666667,1603,1806.83333333333,2096.16666666667,2978
"hsa-miR-296-3p ",149.5,172.666666666667,131,722,154.916666666667,232.666666666667
"hsa-miR-296-5p ",151.583333333333,146.25,124.416666666667,122.5,148.333333333333,141.416666666667
"hsa-miR-299-3p ",299.333333333333,329.833333333333,274.333333333333,412.666666666667,338.833333333333,281.333333333333
"hsa-miR-299-5p ",220,237.833333333333,329.833333333333,131,274.333333333333,148.5
"hsa-miR-29a-3p ",83763.6666666667,88611.3333333333,83763.6666666667,79368.8333333333,72483,83763.6666666667
"hsa-miR-29a-5p ",125.833333333333,136.666666666667,118.916666666667,168.833333333333,130.333333333333,126.75
"hsa-miR-29b-1-5p ",153.333333333333,141.333333333333,157.666666666667,137.5,138,146.916666666667
"hsa-miR-29b-2-5p ",92.9166666666667,96.75,92,117.583333333333,99.3333333333333,96.6666666666667
"hsa-miR-29b-3p ",921.833333333333,1024,823,3209.33333333333,1067,1603
"hsa-miR-29c-3p ",590.666666666667,552.166666666667,515.833333333333,823,899.666666666667,694.333333333333
"hsa-miR-29c-5p ",295.75,322.666666666667,253.166666666667,956.5,343.666666666667,394.583333333333
"hsa-miR-301a-5p ",108.416666666667,104.416666666667,121.083333333333,93.6666666666667,106.75,112.833333333333
"hsa-miR-301b-3p ",96.9166666666667,95.5,98.5,95.75,96,99.3333333333333
"hsa-miR-3065-5p ",106.333333333333,110.166666666667,101.166666666667,111.833333333333,99.3333333333333,130.166666666667
"hsa-miR-3074-3p ",142,151.583333333333,163.666666666667,112.833333333333,201,148.166666666667
"hsa-miR-3074-5p ",40711.1666666667,40711.1666666667,45579.6666666667,14291,45579.6666666667,29004.6666666667
"hsa-miR-30a-3p ",4210.33333333333,4006.33333333333,3697.66666666667,5716.16666666667,4979.33333333333,4210.33333333333
"hsa-miR-30a-5p ",19465.8333333333,17243.8333333333,19465.8333333333,7118.66666666667,27474.8333333333,13055.8333333333
"hsa-miR-30b-3p ",121.083333333333,126.166666666667,117.583333333333,234.333333333333,133,128.333333333333
"hsa-miR-30b-5p ",2434.5,2348.16666666667,2768.83333333333,2391.33333333333,4648,2548
"hsa-miR-30c-1-3p ",129.916666666667,130.75,131,154.916666666667,142.666666666667,137
"hsa-miR-30c-2-3p ",593.666666666667,660.333333333333,546,1669.66666666667,643.833333333333,934.5
"hsa-miR-30c-5p ",7903.66666666667,6694.66666666667,9423,2548,17243.8333333333,5442.83333333333
"hsa-miR-30d-3p ",148.166666666667,146.25,133.666666666667,221.833333333333,144,174.5
"hsa-miR-30d-5p ",4979.33333333333,5140.33333333333,4979.33333333333,3264.33333333333,8880,5794.33333333333
"hsa-miR-30e-3p ",1253.33333333333,1075.08333333333,1566.83333333333,593.666666666667,2149.33333333333,985
"hsa-miR-30e-5p ",1167.33333333333,1185.16666666667,1051.5,899.666666666667,1911.16666666667,1268.83333333333
"hsa-miR-31-3p ",173.666666666667,161.083333333333,205,158,204.166666666667,174.5
"hsa-miR-31-5p ",2190,2696.83333333333,2096.16666666667,1943.66666666667,2348.16666666667,2149.33333333333
"hsa-miR-3117-3p ",96.9166666666667,95.5,99.3333333333333,90.3333333333333,91.5833333333333,89.1666666666667
"hsa-miR-3120-3p ",257.166666666667,229.25,237.833333333333,299.333333333333,441.666666666667,358.583333333333
"hsa-miR-3120-5p ",117.583333333333,123.166666666667,108.166666666667,117.583333333333,118.333333333333,111.833333333333
"hsa-miR-3129-3p ",117.583333333333,106.166666666667,110.666666666667,105.333333333333,141.333333333333,112.333333333333
"hsa-miR-3133 ",91.8333333333333,89.4166666666667,91.1666666666667,92.5,105.5,92.8333333333333
"hsa-miR-3136-5p ",92.9166666666667,93.3333333333333,95.5,93.6666666666667,96,92.8333333333333
"hsa-miR-3152-5p ",114.166666666667,106.166666666667,113.75,95.75,104.166666666667,115.166666666667
"hsa-miR-3158-3p ",191.666666666667,219.083333333333,148.166666666667,803,196.833333333333,352
"hsa-miR-3158-5p ",96.9166666666667,108.083333333333,92,137.5,97.4166666666667,102.666666666667
"hsa-miR-3167 ",106.333333333333,98.5,104.166666666667,93.6666666666667,93.75,94.25
"hsa-miR-3179 ",95.5,93.3333333333333,94.3333333333333,90.3333333333333,96,90
"hsa-miR-3180-3p ",94.1666666666667,101.166666666667,94.3333333333333,110.666666666667,91.5833333333333,94.25
"hsa-miR-3184-3p ",3409.25,3647.33333333333,2674.33333333333,6331.75,3236.83333333333,5199.08333333333
"hsa-miR-3184-5p ",1718.66666666667,1943.66666666667,1288.16666666667,5140.33333333333,1963.5,3697.66666666667
"hsa-miR-32-3p ",104.083333333333,95.5,115,92.5,117.583333333333,96.6666666666667
"hsa-miR-32-5p ",694.333333333333,453.666666666667,753.166666666667,178.833333333333,772.166666666667,633
"hsa-miR-320a-3p ",8609.16666666667,8880,5140.33333333333,88611.3333333333,7736.5,15990.1666666667
"hsa-miR-320b ",583,684.166666666667,412.666666666667,5529.16666666667,633,1771.33333333333
"hsa-miR-320c ",158,199.833333333333,146.166666666667,1232,186.666666666667,415.666666666667
"hsa-miR-320d ",133.25,136.666666666667,101.166666666667,418.083333333333,121.25,206.5
"hsa-miR-323a-3p ",530.666666666667,482.5,592.166666666667,192,420.5,272.666666666667
"hsa-miR-323b-3p ",390.666666666667,418.083333333333,415.666666666667,141.333333333333,352,194.75
