"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"ENSG00000117643",449,432,489,2112,1760,812
"ENSG00000233478",2,2,8,17,17,4
"ENSG00000162430",473,627,714,867,647,871
"ENSG00000228172",6,5,6,13,8,8
"ENSG00000117640",768,718,931,798,1046,815
"ENSG00000127423",15,15,14,22,13,79
"ENSG00000236528",0,1,0,1,1,2
"ENSG00000182749",291,282,425,199,290,237
"ENSG00000117632",507,527,663,590,1241,3871
"ENSG00000229786",0,0,0,1,1,1
"ENSG00000223624",0,2,1,2,0,0
"ENSG00000158006",456,399,492,332,386,388
"ENSG00000158008",4,16,25,28,26,49
"ENSG00000158014",0,0,1,0,0,1
"ENSG00000158022",6,13,3,15,10,14
"ENSG00000175087",132,135,106,166,229,259
"ENSG00000197245",0,1,1,0,0,1
"ENSG00000236782",6,3,3,7,13,7
"ENSG00000142675",4,0,2,3,4,6
"ENSG00000236155",6,1,4,13,16,7
"ENSG00000130695",297,273,336,280,429,634
"ENSG00000270733",0,4,2,0,2,5
"ENSG00000142669",1451,1580,2059,556,1797,1095
"ENSG00000158062",120,108,153,176,226,197
"ENSG00000169442",0,0,0,0,10,64
"ENSG00000176092",1,1,1,0,0,1
"ENSG00000225854",1,0,0,0,0,1
"ENSG00000117682",1058,1014,1181,789,1157,1027
"ENSG00000223583",7,12,16,29,10,23
"ENSG00000225891",26,20,17,51,36,33
"ENSG00000198830",1558,1434,1755,1912,3004,5030
"ENSG00000224129",0,0,0,1,0,0
"ENSG00000117676",56,60,78,79,195,136
"ENSG00000260063",5,5,10,15,4,5
"ENSG00000117713",788,965,770,1418,701,1280
"ENSG00000060642",823,749,896,490,811,420
"ENSG00000241188",2,0,1,1,0,0
